Data collected on 04/27/2007 04:18:06 PM from an HP54600A at address 5.


Source=CHAN1,Source=CHAN1,Source=CHAN2,Source=CHAN2
Label=CHAN1,Label=CHAN1,Label=CHAN2,Label=CHAN2
Data=Horiz,Data=Vert,Data=Horiz,Data=Vert
Units=s,Units=V,Units=s,Units=V
+4.600000E-04,+3.000000E+00,+4.600000E-04,+1.250000E-01
+4.620000E-04,+3.031250E+00,+4.620000E-04,+1.250000E-01
+4.640000E-04,+3.000000E+00,+4.640000E-04,+1.875000E-01
+4.660000E-04,+3.031250E+00,+4.660000E-04,+1.250000E-01
+4.680000E-04,+3.031250E+00,+4.680000E-04,+1.250000E-01
+4.700000E-04,+3.000000E+00,+4.700000E-04,+1.250000E-01
+4.720000E-04,+3.000000E+00,+4.720000E-04,+1.250000E-01
+4.740000E-04,+8.750000E-01,+4.740000E-04,+1.875000E-01
+4.760000E-04,+2.593750E+00,+4.760000E-04,+1.875000E-01
+4.780000E-04,+2.968750E+00,+4.780000E-04,+1.875000E-01
+4.800000E-04,+2.968750E+00,+4.800000E-04,+1.875000E-01
+4.820000E-04,+2.968750E+00,+4.820000E-04,+1.250000E-01
+4.840000E-04,+3.000000E+00,+4.840000E-04,+1.250000E-01
+4.860000E-04,+0.000000E+00,+4.860000E-04,+3.437500E+00
+4.880000E-04,+2.625000E+00,+4.880000E-04,+2.625000E+00
+4.900000E-04,+2.906250E+00,+4.900000E-04,+2.000000E+00
+4.920000E-04,+2.968750E+00,+4.920000E-04,+1.500000E+00
+4.940000E-04,+3.000000E+00,+4.940000E-04,+1.125000E+00
+4.960000E-04,+3.000000E+00,+4.960000E-04,+6.875000E-01
+4.980000E-04,+3.000000E+00,+4.980000E-04,-1.437500E+00
+5.000000E-04,+1.312500E+00,+5.000000E-04,+2.500000E-01
+5.020000E-04,+2.875000E+00,+5.020000E-04,+2.500000E-01
+5.040000E-04,+2.968750E+00,+5.040000E-04,+1.875000E-01
+5.060000E-04,+3.031250E+00,+5.060000E-04,+1.250000E-01
+5.080000E-04,+3.031250E+00,+5.080000E-04,+1.875000E-01
+5.100000E-04,+3.000000E+00,+5.100000E-04,+6.250000E-02
+5.120000E-04,+3.125000E-01,+5.120000E-04,+2.500000E-01
+5.140000E-04,+2.781250E+00,+5.140000E-04,+1.875000E-01
+5.160000E-04,+2.937500E+00,+5.160000E-04,+1.875000E-01
