Data collected on 04/27/2007 04:25:32 PM from an HP54600A at address 5.


Source=CHAN1,Source=CHAN1,Source=CHAN2,Source=CHAN2
Label=CHAN1,Label=CHAN1,Label=CHAN2,Label=CHAN2
Data=Horiz,Data=Vert,Data=Horiz,Data=Vert
Units=s,Units=V,Units=s,Units=V
+2.075000E-05,+3.000000E+00,+2.080000E-05,+1.250000E-01
+2.085000E-05,+3.000000E+00,+2.090000E-05,+1.875000E-01
+2.095000E-05,+3.000000E+00,+2.100000E-05,+1.875000E-01
+2.105000E-05,+3.000000E+00,+2.110000E-05,+2.500000E-01
+2.115000E-05,+3.000000E+00,+2.120000E-05,+1.250000E-01
+2.125000E-05,+3.000000E+00,+2.130000E-05,+1.250000E-01
+2.135000E-05,+3.031250E+00,+2.140000E-05,+1.250000E-01
+2.145000E-05,+3.031250E+00,+2.150000E-05,+1.250000E-01
+2.155000E-05,+3.031250E+00,+2.160000E-05,+1.250000E-01
+2.165000E-05,+3.000000E+00,+2.170000E-05,+1.250000E-01
+2.175000E-05,+3.000000E+00,+2.180000E-05,+1.875000E-01
+2.185000E-05,+3.000000E+00,+2.190000E-05,+1.875000E-01
+2.195000E-05,+3.031250E+00,+2.200000E-05,+1.875000E-01
+2.205000E-05,+3.000000E+00,+2.210000E-05,+1.875000E-01
+2.215000E-05,+3.031250E+00,+2.220000E-05,+1.875000E-01
+2.225000E-05,+3.000000E+00,+2.230000E-05,+1.875000E-01
+2.235000E-05,+3.000000E+00,+2.240000E-05,+1.875000E-01
+2.245000E-05,+3.031250E+00,+2.250000E-05,+1.250000E-01
+2.255000E-05,+3.031250E+00,+2.260000E-05,+1.875000E-01
+2.265000E-05,+3.031250E+00,+2.270000E-05,+1.250000E-01
+2.275000E-05,+3.000000E+00,+2.280000E-05,+1.250000E-01
+2.285000E-05,+3.000000E+00,+2.290000E-05,+6.250000E-02
+2.295000E-05,+3.000000E+00,+2.300000E-05,+1.250000E-01
+2.305000E-05,+3.000000E+00,+2.310000E-05,+1.875000E-01
+2.315000E-05,+3.031250E+00,+2.320000E-05,+1.250000E-01
+2.325000E-05,+3.031250E+00,+2.330000E-05,+1.875000E-01
+2.335000E-05,+3.031250E+00,+2.340000E-05,+1.250000E-01
+2.345000E-05,+3.031250E+00,+2.350000E-05,+1.250000E-01
+2.355000E-05,+3.000000E+00,+2.360000E-05,+1.250000E-01
+2.365000E-05,+3.000000E+00,+2.370000E-05,+1.250000E-01
+2.375000E-05,+3.031250E+00,+2.380000E-05,+1.250000E-01
+2.385000E-05,+3.000000E+00,+2.390000E-05,+6.250000E-02
